orchard_id,latitude,longitude,evi,year,doy,Municipality
X12,41.10728836,36.68497849,0.2489,2007,1,Samsun
X12,41.10728836,36.68497849,0.1899,2007,17,Samsun
X12,41.10728836,36.68497849,0.2306,2007,33,Samsun
X12,41.10728836,36.68497849,0.2192,2007,49,Samsun
X12,41.10728836,36.68497849,0.2306,2007,65,Samsun
X12,41.10728836,36.68497849,0.3,2007,81,Samsun
X12,41.10728836,36.68497849,0.4267,2007,97,Samsun
X12,41.10728836,36.68497849,0.5257,2007,113,Samsun
X12,41.10728836,36.68497849,0.5743,2007,129,Samsun
X12,41.10728836,36.68497849,0.5497,2007,145,Samsun
X12,41.10728836,36.68497849,0.5801,2007,161,Samsun
X12,41.10728836,36.68497849,0.5957,2007,177,Samsun
X12,41.10728836,36.68497849,0.5957,2007,193,Samsun
X12,41.10728836,36.68497849,0.5612,2007,209,Samsun
X12,41.10728836,36.68497849,0.4941,2007,225,Samsun
X12,41.10728836,36.68497849,0.5016,2007,241,Samsun
X12,41.10728836,36.68497849,0.4433,2007,257,Samsun
X12,41.10728836,36.68497849,0.3974,2007,273,Samsun
X12,41.10728836,36.68497849,0.3808,2007,289,Samsun
X12,41.10728836,36.68497849,0.3893,2007,305,Samsun
X12,41.10728836,36.68497849,0.2891,2007,321,Samsun
X12,41.10728836,36.68497849,0.2546,2007,337,Samsun
X12,41.10728836,36.68497849,0.2152,2007,353,Samsun
X12,41.10728836,36.68497849,0.1969,2008,1,Samsun
X12,41.10728836,36.68497849,0.1906,2008,17,Samsun
X12,41.10728836,36.68497849,0.2398,2008,33,Samsun
X12,41.10728836,36.68497849,0.2151,2008,49,Samsun
X12,41.10728836,36.68497849,0.2488,2008,65,Samsun
X12,41.10728836,36.68497849,0.3996,2008,81,Samsun
X12,41.10728836,36.68497849,0.4662,2008,97,Samsun
X12,41.10728836,36.68497849,0.5586,2008,113,Samsun
X12,41.10728836,36.68497849,0.5686,2008,129,Samsun
X12,41.10728836,36.68497849,0.6223,2008,145,Samsun
X12,41.10728836,36.68497849,0.5911,2008,161,Samsun
X12,41.10728836,36.68497849,0.5729,2008,177,Samsun
X12,41.10728836,36.68497849,0.5662,2008,193,Samsun
X12,41.10728836,36.68497849,0.4633,2008,209,Samsun
X12,41.10728836,36.68497849,0.4422,2008,225,Samsun
X12,41.10728836,36.68497849,0.3742,2008,241,Samsun
