orchard_id,latitude,longitude,ndvi,year,doy,Municipality
X12,41.10728836,36.68497849,0.7636,2007,225,Samsun
X12,41.10728836,36.68497849,0.8082,2007,241,Samsun
X12,41.10728836,36.68497849,0.7816,2007,257,Samsun
X12,41.10728836,36.68497849,0.7312,2007,273,Samsun
X12,41.10728836,36.68497849,0.7192,2007,289,Samsun
X12,41.10728836,36.68497849,0.7011,2007,305,Samsun
X12,41.10728836,36.68497849,0.577,2007,321,Samsun
X12,41.10728836,36.68497849,0.4836,2007,337,Samsun
X12,41.10728836,36.68497849,0.4477,2007,353,Samsun
X12,41.10728836,36.68497849,0.4394,2008,1,Samsun
X12,41.10728836,36.68497849,0.4158,2008,17,Samsun
X12,41.10728836,36.68497849,0.455,2008,33,Samsun
X12,41.10728836,36.68497849,0.3974,2008,49,Samsun
X12,41.10728836,36.68497849,0.4527,2008,65,Samsun
X12,41.10728836,36.68497849,0.6159,2008,81,Samsun
X12,41.10728836,36.68497849,0.7266,2008,97,Samsun
X12,41.10728836,36.68497849,0.7986,2008,113,Samsun
X12,41.10728836,36.68497849,0.773,2008,129,Samsun
X12,41.10728836,36.68497849,0.7662,2008,145,Samsun
X12,41.10728836,36.68497849,0.8073,2008,161,Samsun
X12,41.10728836,36.68497849,0.7943,2008,177,Samsun
X12,41.10728836,36.68497849,0.7687,2008,193,Samsun
X12,41.10728836,36.68497849,0.7365,2008,209,Samsun
X12,41.10728836,36.68497849,0.7318,2008,225,Samsun
X12,41.10728836,36.68497849,0.7029,2008,241,Samsun
X12,41.10728836,36.68497849,0.6531,2008,257,Samsun
X12,41.10728836,36.68497849,0.69,2008,273,Samsun
X12,41.10728836,36.68497849,0.6787,2008,289,Samsun
X12,41.10728836,36.68497849,0.6284,2008,305,Samsun
X12,41.10728836,36.68497849,0.527,2008,321,Samsun
X12,41.10728836,36.68497849,0.5249,2008,337,Samsun
X12,41.10728836,36.68497849,0.5133,2008,353,Samsun
X12,41.10728836,36.68497849,0.4862,2009,1,Samsun
X12,41.10728836,36.68497849,0.4708,2009,17,Samsun
X12,41.10728836,36.68497849,0.5093,2009,33,Samsun
X12,41.10728836,36.68497849,0.5258,2009,49,Samsun
X12,41.10728836,36.68497849,0.5365,2009,65,Samsun
X12,41.10728836,36.68497849,0.5956,2009,81,Samsun
X12,41.10728836,36.68497849,0.746,2009,97,Samsun
X12,41.10728836,36.68497849,0.7423,2009,113,Samsun
X12,41.10728836,36.68497849,0.7699,2009,129,Samsun
X12,41.10728836,36.68497849,0.802,2009,145,Samsun
X12,41.10728836,36.68497849,0.8144,2009,161,Samsun
X12,41.10728836,36.68497849,0.8102,2009,177,Samsun
X12,41.10728836,36.68497849,0.8076,2009,193,Samsun
X12,41.10728836,36.68497849,0.8502,2009,209,Samsun
X12,41.10728836,36.68497849,0.8037,2009,225,Samsun
X12,41.10728836,36.68497849,0.8289,2009,241,Samsun
X12,41.10728836,36.68497849,0.8128,2009,257,Samsun
