Latitude,Longitude,Date,Tmax,Tmin,fileName
40.8953789269797,38.240011004259,2009-01-01,0.648675537109398,-5.33510437011716,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-02,4.35938415527346,-1.87541809082029,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-03,7.31478271484377,-0.397665405273415,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-04,4.5357604980469,1.6413513183594,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-05,9.01741943359377,3.38889465332034,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-06,4.36637268066409,2.4360290527344,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-07,2.2464538574219,-0.0533813476562273,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-08,5.29209289550784,-3.30840148925779,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-09,0.59705505371096,-4.52791442871091,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-10,3.68543395996096,-7.51323547363279,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-11,2.44226989746096,-3.70343627929685,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-12,1.87917480468752,-2.09068908691404,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-13,3.9664245605469,-4.39468994140623,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-14,7.19088134765627,-4.2033752441406,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-15,12.7682281494141,1.76847229003909,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-16,15.712777709961,3.55916748046877,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-17,9.14771423339846,1.46387634277346,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-18,1.99356994628909,-2.7896789550781,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-19,10.0998016357422,-0.252325439453102,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-20,11.3151794433594,2.11597595214846,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-21,10.9629302978516,0.693215942382835,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-22,14.3396087646485,2.03934631347659,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-23,17.004052734375,6.87102661132815,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-24,15.4981170654297,7.71761474609377,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-25,12.8467651367188,7.61036071777346,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-26,13.2717376708985,7.49233398437502,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-27,13.0256591796875,7.34038696289065,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-28,15.0547882080078,7.91571960449221,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-29,15.3648315429688,7.00434265136721,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-30,10.0408111572266,5.09182128906252,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-01-31,7.92197570800784,4.64705810546877,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-01,5.37491760253909,3.89388427734377,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-02,8.1265808105469,2.97528991699221,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-03,9.20729980468752,2.59603271484377,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-04,15.8799682617188,4.75638732910159,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-05,15.4606567382813,9.27204284667971,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-06,12.7769256591797,6.4000183105469,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-07,14.7651306152344,6.28363952636721,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-08,16.731820678711,8.9066101074219,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-09,14.9003845214844,9.03655395507815,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-10,10.5026031494141,4.61025390625002,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-11,9.1466003417969,4.04996643066409,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-12,15.6039520263672,5.27181396484377,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-13,16.7812286376953,7.41889343261721,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-14,16.9121795654297,7.47635803222659,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-15,17.3330780029297,6.23171386718752,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-16,5.56789550781252,0.950051879882835,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-17,1.34732971191409,-3.84198608398435,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-18,6.8780456542969,-5.01744689941404,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-19,8.80452880859377,-1.57272949218748,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-20,11.4303375244141,3.89266357421877,40.8953789269797_38.240011004259
40.8953789269797,38.240011004259,2009-02-21,7.30210266113284,1.80465087890627,40.8953789269797_38.240011004259
